S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
1,Andhra Pradesh,7,0,0,0
2,Bihar,2,0,0,1
3,Chhattisgarh,1,0,0,0
4,Delhi,30,1,6,1
5,Gujarat,29,0,0,1
6,Haryana,12,14,11,0
7,Himachal Pradesh,3,0,0,1
8,Karnataka,37,0,2,1
9,Kerala,87,8,4,0
10,Madhya Pradesh,7,0,0,0
11,Maharashtra,84,3,0,2
12,Odisha,2,0,0,0
13,Puducherry,1,0,0,0
14,Punjab,21,0,0,1
15,Rajasthan,31,2,3,0
16,Tamil Nadu,10,2,1,0
17,Telengana,22,10,1,0
18,Chandigarh,6,0,0,0
19,Jammu and Kashmir,4,0,0,0
20,Ladakh,13,0,0,0
21,Uttar Pradesh,32,1,9,0
22,Uttarakhand,3,0,0,0
23,West Bengal,7,0,0,1
